,geo_value,time_value,value,sample_size,trend
409,ut,2021-01-03,75.5662,2338.016,0
410,va,2021-01-03,74.8417,6663.5843,23
411,vt,2021-01-03,82.9098,786.0014,0
412,wa,2021-01-03,80.8191,6006.8395,12
413,wi,2021-01-03,77.0205,4452.9769,0
414,wv,2021-01-03,68.7079,2116.1547,0
415,wy,2021-01-03,59.0706,572.0269,0
416,ak,2021-01-04,71.33,796.0,0
417,al,2021-01-04,63.4462,4279.1182,19
418,ar,2021-01-04,67.7034,3038.0022,0
419,az,2021-01-04,73.9393,5800.0315,21
420,ca,2021-01-04,78.7347,26133.2379,23
421,co,2021-01-04,79.0263,5202.8457,11
422,ct,2021-01-04,80.5536,4172.0,15
423,dc,2021-01-04,88.4518,393.0,30
424,de,2021-01-04,74.7667,1285.0,0
425,fl,2021-01-04,70.269,17696.0014,55
426,ga,2021-01-04,64.425,6667.915,33
427,hi,2021-01-04,77.1414,1003.0,0
428,ia,2021-01-04,74.9597,3761.3035,0
429,id,2021-01-04,68.6378,1978.7242,0
430,il,2021-01-04,75.0709,11614.0212,0
431,in,2021-01-04,68.9782,6409.0008,28
432,ks,2021-01-04,72.8846,3042.8961,0
433,ky,2021-01-04,69.3432,4219.4837,50
434,la,2021-01-04,63.7099,4265.9964,100
435,ma,2021-01-04,82.6495,5483.013,8
436,md,2021-01-04,79.5664,4449.9969,23
437,me,2021-01-04,78.4057,2025.0,0
438,mi,2021-01-04,73.911,11201.0369,34
439,mn,2021-01-04,79.9574,4400.6698,17
440,mo,2021-01-04,70.0476,5229.1485,31
441,ms,2021-01-04,60.1734,2802.9187,29
442,mt,2021-01-04,69.4225,1380.2606,34
443,nc,2021-01-04,70.2071,10426.0106,44
444,nd,2021-01-04,70.4352,721.9055,83
445,ne,2021-01-04,76.1245,1946.9839,24
446,nh,2021-01-04,80.1124,1867.0,47
447,nj,2021-01-04,76.702,6314.9978,16
448,nm,2021-01-04,77.1941,1959.9366,30
449,nv,2021-01-04,71.9931,2153.7627,31
450,ny,2021-01-04,75.5851,14099.0024,8
451,oh,2021-01-04,69.7046,11712.0055,13
452,ok,2021-01-04,69.1755,4392.6247,22
453,or,2021-01-04,76.7801,4341.8142,30
454,pa,2021-01-04,73.3613,12738.0078,13
455,ri,2021-01-04,80.6412,1168.987,44
456,sc,2021-01-04,65.8719,6060.0051,0
457,sd,2021-01-04,72.1104,1004.5939,0
458,tn,2021-01-04,67.7332,6628.5192,27
459,tx,2021-01-04,71.1729,20253.5552,72
460,us,2021-01-04,73.3003,284199.7698,41
461,ut,2021-01-04,75.681,2830.1742,31
462,va,2021-01-04,74.9914,8023.6413,20
463,vt,2021-01-04,83.1751,947.0015,0
464,wa,2021-01-04,80.6528,7246.7022,0
465,wi,2021-01-04,76.5768,5388.9605,32
466,wv,2021-01-04,68.4771,2570.1566,46
467,wy,2021-01-04,58.4247,673.7992,0
468,ak,2021-01-05,70.7668,938.0,0
469,al,2021-01-05,63.5703,5021.1277,19
470,ar,2021-01-05,67.2536,3538.706,74
471,az,2021-01-05,74.0465,6814.2241,53
472,ca,2021-01-05,78.8697,30616.3695,32
473,co,2021-01-05,79.0294,6085.7843,33
474,ct,2021-01-05,80.9843,4845.0,31
475,dc,2021-01-05,88.7555,457.0,20
476,de,2021-01-05,75.8882,1519.0,0
477,fl,2021-01-05,70.4102,20697.0017,30
478,ga,2021-01-05,64.2932,7603.9054,44
479,hi,2021-01-05,77.3271,1170.0,0
480,ia,2021-01-05,75.0851,4350.1806,25
481,id,2021-01-05,68.2719,2308.8965,0
482,il,2021-01-05,75.2586,13626.0214,14
483,in,2021-01-05,68.6181,7438.0012,14
484,ks,2021-01-05,73.1482,3556.9252,0
485,ky,2021-01-05,69.4426,4947.8612,0
486,la,2021-01-05,63.4322,4989.3657,33
487,ma,2021-01-05,82.7776,6447.0165,17
488,md,2021-01-05,79.4713,5237.9965,24
489,me,2021-01-05,78.2818,2391.0,0
490,mi,2021-01-05,73.8571,13079.053,9
491,mn,2021-01-05,79.901,5159.7383,0
492,mo,2021-01-05,69.8892,6075.0751,16
493,ms,2021-01-05,60.3475,3250.3129,29
494,mt,2021-01-05,69.6659,1602.1581,0
495,nc,2021-01-05,70.2532,12123.0124,26
496,nd,2021-01-05,70.7162,810.9747,0
497,ne,2021-01-05,76.3078,2265.9589,0
498,nh,2021-01-05,79.6482,2188.0,49
499,nj,2021-01-05,76.8506,7374.9975,40
500,nm,2021-01-05,76.9896,2264.0972,0
501,nv,2021-01-05,71.9059,2513.6312,0
502,ny,2021-01-05,75.6602,16546.0026,24
503,oh,2021-01-05,69.617,13551.0059,26
504,ok,2021-01-05,68.6696,5119.6247,91
505,or,2021-01-05,76.6353,5016.8177,16
506,pa,2021-01-05,73.0519,14770.0093,20
507,ri,2021-01-05,81.1915,1383.9835,0
508,sc,2021-01-05,65.8844,7094.0052,20
509,sd,2021-01-05,72.5818,1156.6273,0
510,tn,2021-01-05,67.896,7723.1416,83
511,tx,2021-01-05,70.914,23645.4552,32
512,us,2021-01-05,73.3109,331639.3861,47
513,ut,2021-01-05,75.4704,3290.9864,32
514,va,2021-01-05,75.2316,9355.8568,40
515,vt,2021-01-05,82.97,1100.0015,0
516,wa,2021-01-05,80.7242,8461.564,11
