,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
47,wa,smoothed_wearing_mask,2020-10-11,2020-12-09,59,90.7073451,0.3561866,6643.9611,state,fb-survey
48,wi,smoothed_wearing_mask,2020-10-11,2020-12-09,59,86.7585761,0.435687,6051.9865,state,fb-survey
49,wv,smoothed_wearing_mask,2020-10-11,2020-12-09,59,86.4772337,0.7315227,2185.3034,state,fb-survey
50,wy,smoothed_wearing_mask,2020-10-11,2020-12-09,59,61.4995529,1.8988056,656.7147,state,fb-survey
0,ak,smoothed_wearing_mask,2020-10-12,2020-12-09,58,82.4183007,1.3771954,764.0,state,fb-survey
1,al,smoothed_wearing_mask,2020-10-12,2020-12-09,58,83.1165676,0.6361969,3467.091,state,fb-survey
2,ar,smoothed_wearing_mask,2020-10-12,2020-12-09,58,84.7492215,0.7362579,2384.3379,state,fb-survey
3,az,smoothed_wearing_mask,2020-10-12,2020-12-09,58,86.6440742,0.4837834,4944.3704,state,fb-survey
4,ca,smoothed_wearing_mask,2020-10-12,2020-12-09,58,91.6849704,0.1987716,19295.3847,state,fb-survey
5,co,smoothed_wearing_mask,2020-10-12,2020-12-09,58,87.2996309,0.4760779,4891.8444,state,fb-survey
6,ct,smoothed_wearing_mask,2020-10-12,2020-12-09,58,94.278406,0.3811555,3713.0,state,fb-survey
7,dc,smoothed_wearing_mask,2020-10-12,2020-12-09,58,97.0930233,0.8111219,429.0,state,fb-survey
8,de,smoothed_wearing_mask,2020-10-12,2020-12-09,58,93.438914,0.7451903,1104.0,state,fb-survey
9,fl,smoothed_wearing_mask,2020-10-12,2020-12-09,58,85.0355951,0.2882798,15311.9999,state,fb-survey
10,ga,smoothed_wearing_mask,2020-10-12,2020-12-09,58,82.0796157,0.4964955,5966.944,state,fb-survey
11,hi,smoothed_wearing_mask,2020-10-12,2020-12-09,58,92.22103,0.8778113,931.0,state,fb-survey
12,ia,smoothed_wearing_mask,2020-10-12,2020-12-09,58,78.1983207,0.7067984,3412.6852,state,fb-survey
13,id,smoothed_wearing_mask,2020-10-12,2020-12-09,58,73.8007252,1.024655,1841.5968,state,fb-survey
14,il,smoothed_wearing_mask,2020-10-12,2020-12-09,58,89.0857833,0.3218542,9386.0447,state,fb-survey
15,in,smoothed_wearing_mask,2020-10-12,2020-12-09,58,84.8830897,0.4804449,5559.0039,state,fb-survey
16,ks,smoothed_wearing_mask,2020-10-12,2020-12-09,58,81.3088949,0.7461217,2729.9434,state,fb-survey
17,ky,smoothed_wearing_mask,2020-10-12,2020-12-09,58,87.0768161,0.5527022,3683.746,state,fb-survey
18,la,smoothed_wearing_mask,2020-10-12,2020-12-09,58,81.2538505,0.6851266,3244.9978,state,fb-survey
19,ma,smoothed_wearing_mask,2020-10-12,2020-12-09,58,94.1559845,0.3374199,4833.0135,state,fb-survey
20,md,smoothed_wearing_mask,2020-10-12,2020-12-09,58,92.901319,0.4306446,3555.9974,state,fb-survey
21,me,smoothed_wearing_mask,2020-10-12,2020-12-09,58,86.527365,0.8182307,1741.2234,state,fb-survey
22,mi,smoothed_wearing_mask,2020-10-12,2020-12-09,58,87.6393177,0.3457085,9064.0303,state,fb-survey
23,mn,smoothed_wearing_mask,2020-10-12,2020-12-09,58,88.2387145,0.5009306,4135.7927,state,fb-survey
24,mo,smoothed_wearing_mask,2020-10-12,2020-12-09,58,80.4084221,0.5872043,4568.6988,state,fb-survey
25,ms,smoothed_wearing_mask,2020-10-12,2020-12-09,58,79.9661856,0.8801941,2067.8217,state,fb-survey
26,mt,smoothed_wearing_mask,2020-10-12,2020-12-09,58,82.463532,0.99672,1455.6525,state,fb-survey
27,nc,smoothed_wearing_mask,2020-10-12,2020-12-09,58,86.6881393,0.3895376,7605.0066,state,fb-survey
28,nd,smoothed_wearing_mask,2020-10-12,2020-12-09,58,73.4091,1.5636095,798.4107,state,fb-survey
29,ne,smoothed_wearing_mask,2020-10-12,2020-12-09,58,79.4308142,0.9315129,1882.9049,state,fb-survey
30,nh,smoothed_wearing_mask,2020-10-12,2020-12-09,58,88.3775865,0.7801206,1687.7766,state,fb-survey
31,nj,smoothed_wearing_mask,2020-10-12,2020-12-09,58,92.0578547,0.3559068,5771.9981,state,fb-survey
32,nm,smoothed_wearing_mask,2020-10-12,2020-12-09,58,89.7347988,0.7299041,1729.007,state,fb-survey
33,nv,smoothed_wearing_mask,2020-10-12,2020-12-09,58,88.0125767,0.7283887,1988.5852,state,fb-survey
34,ny,smoothed_wearing_mask,2020-10-12,2020-12-09,58,93.2505586,0.2325622,11637.0016,state,fb-survey
35,oh,smoothed_wearing_mask,2020-10-12,2020-12-09,58,85.5560219,0.3602504,9522.0046,state,fb-survey
36,ok,smoothed_wearing_mask,2020-10-12,2020-12-09,58,78.9230752,0.6904994,3488.8687,state,fb-survey
37,or,smoothed_wearing_mask,2020-10-12,2020-12-09,58,90.1753024,0.4650813,4095.8966,state,fb-survey
38,pa,smoothed_wearing_mask,2020-10-12,2020-12-09,58,87.5199632,0.3113283,11269.0076,state,fb-survey
39,ri,smoothed_wearing_mask,2020-10-12,2020-12-09,58,93.8578346,0.7654229,983.9865,state,fb-survey
40,sc,smoothed_wearing_mask,2020-10-12,2020-12-09,58,83.6199353,0.5460902,4593.0026,state,fb-survey
41,sd,smoothed_wearing_mask,2020-10-12,2020-12-09,58,69.9193956,1.5076092,925.3514,state,fb-survey
42,tn,smoothed_wearing_mask,2020-10-12,2020-12-09,58,80.8409375,0.5426764,5259.248,state,fb-survey
43,tx,smoothed_wearing_mask,2020-10-12,2020-12-09,58,86.4469552,0.2686361,16235.2084,state,fb-survey
44,ut,smoothed_wearing_mask,2020-10-12,2020-12-09,58,83.3960126,0.6976832,2844.7309,state,fb-survey
45,va,smoothed_wearing_mask,2020-10-12,2020-12-09,58,89.9695567,0.3505869,7342.17,state,fb-survey
46,vt,smoothed_wearing_mask,2020-10-12,2020-12-09,58,93.3889644,0.8908254,778.0005,state,fb-survey
47,wa,smoothed_wearing_mask,2020-10-12,2020-12-09,58,90.8029904,0.3570706,6549.9587,state,fb-survey
48,wi,smoothed_wearing_mask,2020-10-12,2020-12-09,58,86.7978973,0.4383373,5963.9695,state,fb-survey
49,wv,smoothed_wearing_mask,2020-10-12,2020-12-09,58,85.6994573,0.7537194,2157.3034,state,fb-survey
50,wy,smoothed_wearing_mask,2020-10-12,2020-12-09,58,60.8333251,1.9062085,655.7185,state,fb-survey
0,ak,smoothed_wearing_mask,2020-10-13,2020-12-09,57,82.0355191,1.4198734,731.0,state,fb-survey
1,al,smoothed_wearing_mask,2020-10-13,2020-12-09,57,83.6075731,0.635451,3394.1007,state,fb-survey
2,ar,smoothed_wearing_mask,2020-10-13,2020-12-09,57,84.8965514,0.7376265,2356.6397,state,fb-survey
3,az,smoothed_wearing_mask,2020-10-13,2020-12-09,57,86.7051295,0.4873075,4854.256,state,fb-survey
4,ca,smoothed_wearing_mask,2020-10-13,2020-12-09,57,91.5626479,0.2027013,18802.3282,state,fb-survey
5,co,smoothed_wearing_mask,2020-10-13,2020-12-09,57,87.2495544,0.4828852,4770.9046,state,fb-survey
6,ct,smoothed_wearing_mask,2020-10-13,2020-12-09,57,94.2884668,0.3850638,3632.0,state,fb-survey
7,dc,smoothed_wearing_mask,2020-10-13,2020-12-09,57,97.4880383,0.766327,417.0,state,fb-survey
8,de,smoothed_wearing_mask,2020-10-13,2020-12-09,57,93.6320755,0.750349,1059.0,state,fb-survey
9,fl,smoothed_wearing_mask,2020-10-13,2020-12-09,57,84.9729523,0.290268,15154.9997,state,fb-survey
10,ga,smoothed_wearing_mask,2020-10-13,2020-12-09,57,81.8548364,0.5034497,5859.9375,state,fb-survey
11,hi,smoothed_wearing_mask,2020-10-13,2020-12-09,57,92.462039,0.8699191,921.0,state,fb-survey
12,ia,smoothed_wearing_mask,2020-10-13,2020-12-09,57,77.6766393,0.72175,3328.7137,state,fb-survey
13,id,smoothed_wearing_mask,2020-10-13,2020-12-09,57,74.1531272,1.0305098,1804.8173,state,fb-survey
14,il,smoothed_wearing_mask,2020-10-13,2020-12-09,57,88.8942219,0.3310522,9008.0221,state,fb-survey
15,in,smoothed_wearing_mask,2020-10-13,2020-12-09,57,84.8309561,0.4863139,5441.0068,state,fb-survey
16,ks,smoothed_wearing_mask,2020-10-13,2020-12-09,57,81.2638195,0.7551505,2670.0001,state,fb-survey
17,ky,smoothed_wearing_mask,2020-10-13,2020-12-09,57,87.2018788,0.56105,3545.4307,state,fb-survey
18,la,smoothed_wearing_mask,2020-10-13,2020-12-09,57,81.0613478,0.7060025,3079.9975,state,fb-survey
19,ma,smoothed_wearing_mask,2020-10-13,2020-12-09,57,93.9365327,0.3460275,4757.012,state,fb-survey
20,md,smoothed_wearing_mask,2020-10-13,2020-12-09,57,92.9531165,0.4327956,3496.9974,state,fb-survey
21,me,smoothed_wearing_mask,2020-10-13,2020-12-09,57,87.1208981,0.820611,1666.2234,state,fb-survey
22,mi,smoothed_wearing_mask,2020-10-13,2020-12-09,57,87.0654556,0.3600913,8685.0392,state,fb-survey
23,mn,smoothed_wearing_mask,2020-10-13,2020-12-09,57,88.4928057,0.5055776,3983.8393,state,fb-survey
24,mo,smoothed_wearing_mask,2020-10-13,2020-12-09,57,80.7543187,0.5841023,4555.3448,state,fb-survey
25,ms,smoothed_wearing_mask,2020-10-13,2020-12-09,57,79.0612762,0.9071162,2011.8156,state,fb-survey
26,mt,smoothed_wearing_mask,2020-10-13,2020-12-09,57,82.6278104,1.001125,1432.2016,state,fb-survey
27,nc,smoothed_wearing_mask,2020-10-13,2020-12-09,57,86.4983713,0.3976151,7387.0057,state,fb-survey
28,nd,smoothed_wearing_mask,2020-10-13,2020-12-09,57,73.0183481,1.5843578,784.8633,state,fb-survey
29,ne,smoothed_wearing_mask,2020-10-13,2020-12-09,57,79.4152273,0.9443994,1832.8988,state,fb-survey
30,nh,smoothed_wearing_mask,2020-10-13,2020-12-09,57,88.1962518,0.7874783,1678.7766,state,fb-survey
31,nj,smoothed_wearing_mask,2020-10-13,2020-12-09,57,92.2697065,0.3579135,5567.9981,state,fb-survey
32,nm,smoothed_wearing_mask,2020-10-13,2020-12-09,57,89.9576572,0.7129936,1777.0592,state,fb-survey
