,time_value,trend,geo_value
578,2020-10-20,53,ct
579,2020-10-20,59,dc
580,2020-10-20,32,de
581,2020-10-20,98,fl
582,2020-10-20,55,ga
583,2020-10-20,46,hi
584,2020-10-20,57,ia
585,2020-10-20,56,id
586,2020-10-20,84,il
587,2020-10-20,67,in
588,2020-10-20,71,ks
589,2020-10-20,89,ky
590,2020-10-20,86,la
591,2020-10-20,74,ma
592,2020-10-20,78,md
593,2020-10-20,37,me
594,2020-10-20,80,mi
595,2020-10-20,77,mn
596,2020-10-20,51,mo
597,2020-10-20,91,ms
598,2020-10-20,36,mt
599,2020-10-20,59,nc
600,2020-10-20,87,nd
601,2020-10-20,71,ne
602,2020-10-20,52,nh
603,2020-10-20,74,nj
604,2020-10-20,71,nm
605,2020-10-20,50,nv
606,2020-10-20,88,ny
607,2020-10-20,65,oh
608,2020-10-20,56,ok
609,2020-10-20,64,or
610,2020-10-20,42,pa
611,2020-10-20,43,ri
612,2020-10-20,62,sc
613,2020-10-20,27,sd
614,2020-10-20,87,tn
615,2020-10-20,70,tx
616,2020-10-20,82,us
617,2020-10-20,37,ut
618,2020-10-20,64,va
619,2020-10-20,49,vt
620,2020-10-20,66,wa
621,2020-10-20,44,wi
622,2020-10-20,19,wv
623,2020-10-20,37,wy
624,2020-10-21,33,ak
625,2020-10-21,51,al
626,2020-10-21,67,ar
627,2020-10-21,80,az
628,2020-10-21,83,ca
629,2020-10-21,72,co
630,2020-10-21,68,ct
631,2020-10-21,66,dc
632,2020-10-21,62,de
633,2020-10-21,73,fl
634,2020-10-21,85,ga
635,2020-10-21,52,hi
636,2020-10-21,59,ia
637,2020-10-21,35,id
638,2020-10-21,73,il
639,2020-10-21,84,in
640,2020-10-21,93,ks
641,2020-10-21,85,ky
642,2020-10-21,62,la
643,2020-10-21,76,ma
644,2020-10-21,80,md
645,2020-10-21,47,me
646,2020-10-21,70,mi
647,2020-10-21,69,mn
648,2020-10-21,78,mo
649,2020-10-21,44,ms
650,2020-10-21,29,mt
651,2020-10-21,50,nc
652,2020-10-21,25,nd
653,2020-10-21,54,ne
654,2020-10-21,23,nh
655,2020-10-21,69,nj
656,2020-10-21,62,nm
657,2020-10-21,64,nv
658,2020-10-21,87,ny
659,2020-10-21,68,oh
660,2020-10-21,76,ok
661,2020-10-21,92,or
662,2020-10-21,50,pa
663,2020-10-21,48,ri
664,2020-10-21,70,sc
665,2020-10-21,25,sd
666,2020-10-21,75,tn
667,2020-10-21,73,tx
