,geo_value,time_value,value,sample_size,positive,negative,trend
702,mt,2020-10-22,81.9852,1316.4541,1079.2971,237.157,42
703,nc,2020-10-22,87.9175,6765.0067,5947.6269,817.3798,64
704,nd,2020-10-22,75.0016,687.0073,515.2666,171.7407,34
705,ne,2020-10-22,82.4519,1681.6729,1386.5712,295.1017,68
706,nh,2020-10-22,89.4997,1518.0,1358.605,159.395,27
707,nj,2020-10-22,91.8518,4950.9988,4547.5803,403.4185,76
708,nm,2020-10-22,90.4562,1660.6848,1502.1916,158.4932,72
709,nv,2020-10-22,89.1877,1612.9101,1438.5182,174.3919,50
710,ny,2020-10-22,93.4163,10168.0007,9498.5667,669.434,79
711,oh,2020-10-22,86.1541,8655.0021,7456.6407,1198.3614,51
712,ok,2020-10-22,78.4492,3064.1129,2403.7721,660.3408,73
713,or,2020-10-22,89.5295,3566.1706,3192.7745,373.3961,81
714,pa,2020-10-22,88.0514,9611.0059,8462.6242,1148.3817,59
715,ri,2020-10-22,92.9218,881.991,819.5618,62.4292,44
716,sc,2020-10-22,84.1454,3919.002,3297.6602,621.3418,75
717,sd,2020-10-22,71.3657,880.2353,628.1862,252.0491,19
718,tn,2020-10-22,80.7158,4576.8725,3694.2609,882.6116,79
719,tx,2020-10-22,87.1854,14026.0253,12228.6532,1797.3721,68
720,us,2020-10-22,86.1863,209006.1017,182638.3495,26367.7522,80
721,ut,2020-10-22,85.4349,2371.1191,2025.7624,345.3567,48
722,va,2020-10-22,90.2268,5651.4211,5099.0982,552.3229,60
723,vt,2020-10-22,92.6813,730.0012,676.5744,53.4268,19
724,wa,2020-10-22,91.5071,5691.9725,5208.5597,483.4128,75
725,wi,2020-10-22,87.7059,5038.0036,4418.6259,619.3777,40
726,wv,2020-10-22,86.1708,1695.0541,1460.642,234.4121,31
727,wy,2020-10-22,65.4557,620.007,405.8296,214.1774,27
728,ak,2020-10-23,82.1528,719.0,590.6785,128.3215,11
729,al,2020-10-23,81.9207,2867.0814,2348.7321,518.3493,92
730,ar,2020-10-23,85.3899,1985.763,1695.6409,290.1221,45
731,az,2020-10-23,87.1561,4347.3698,3788.9982,558.3716,85
732,ca,2020-10-23,91.1603,15661.2221,14276.8103,1384.4118,86
733,co,2020-10-23,88.318,4282.8481,3782.5246,500.3235,66
734,ct,2020-10-23,92.9675,3234.0,3006.5703,227.4297,65
735,dc,2020-10-23,95.4427,383.0,365.5456,17.4544,62
736,de,2020-10-23,93.1609,869.0,809.5684,59.4316,39
737,fl,2020-10-23,84.5462,13066.9989,11047.6536,2019.3453,86
738,ga,2020-10-23,82.0086,4992.9481,4094.6468,898.3013,82
739,hi,2020-10-23,93.4517,816.0,762.5655,53.4345,46
740,ia,2020-10-23,80.1907,3034.5456,2433.4225,601.1231,35
741,id,2020-10-23,74.2234,1645.8869,1221.6331,424.2538,44
742,il,2020-10-23,89.1825,8720.9994,7777.6078,943.3916,81
743,in,2020-10-23,86.2119,5123.0028,4416.6395,706.3633,76
744,ks,2020-10-23,81.8843,2336.9144,1913.5661,423.3483,70
745,ky,2020-10-23,87.0203,3213.1324,2796.0767,417.0557,85
746,la,2020-10-23,80.1943,2780.3678,2229.6968,550.671,61
747,ma,2020-10-23,95.2544,4245.0095,4043.5565,201.453,71
748,md,2020-10-23,94.1223,3154.9982,2969.5572,185.441,66
749,me,2020-10-23,89.6841,1487.0,1333.6032,153.3968,58
750,mi,2020-10-23,88.4365,7993.9953,7069.6115,924.3838,80
751,mn,2020-10-23,89.1667,3817.847,3404.2481,413.5989,74
752,mo,2020-10-23,80.944,3948.0406,3195.7015,752.3391,61
753,ms,2020-10-23,79.3454,1818.6051,1442.9789,375.6262,35
